iter	Passed	Remaining
0	221	220868
1	231	115351
2	272	90680
3	293	73148
4	302	60248
5	309	51306
6	315	44735
7	323	40104
8	332	36586
9	339	33623
10	347	31265
11	355	29267
12	361	27453
13	369	26033
14	378	24850
15	384	23637
16	395	22870
17	407	22248
18	414	21403
19	427	20960
20	440	20552
21	452	20134
22	463	19705
23	469	19097
24	473	18465
25	479	17978
26	487	17550
27	495	17191
28	501	16801
29	512	16555
30	522	16324
31	530	16036
32	537	15748
33	543	15436
34	552	15229
35	557	14922
36	561	14624
37	568	14404
38	576	14193
39	582	13988
40	592	13851
41	604	13799
42	615	13690
43	622	13529
44	630	13386
45	637	13228
46	644	13067
47	654	12984
48	663	12886
49	673	12795
50	681	12684
51	688	12545
52	698	12474
53	707	12393
54	719	12364
55	725	12223
56	741	12265
57	758	12321
58	777	12405
59	792	12414
60	814	12532
61	834	12622
62	853	12697
63	872	12762
64	890	12807
65	896	12689
66	909	12665
67	937	12847
68	950	12824
69	974	12953
70	996	13036
71	1011	13036
72	1025	13016
73	1038	12992
74	1050	12950
75	1061	12902
76	1072	12851
77	1086	12845
78	1101	12841
79	1114	12817
80	1131	12838
81	1138	12741
82	1148	12685
83	1155	12602
84	1174	12648
85	1187	12621
86	1213	12732
87	1219	12640
88	1233	12621
89	1251	12653
90	1262	12615
91	1280	12636
92	1296	12648
93	1312	12648
94	1358	12943
95	1375	12956
96	1421	13229
97	1470	13531
98	1490	13560
99	1502	13518
100	1512	13458
101	1522	13402
102	1529	13322
103	1537	13242
104	1543	13156
105	1553	13104
106	1559	13016
107	1567	12947
108	1575	12876
109	1584	12820
110	1590	12738
111	1596	12657
112	1604	12591
113	1611	12525
114	1617	12447
115	1621	12357
116	1629	12294
117	1635	12225
118	1644	12175
119	1650	12106
120	1657	12038
121	1663	11973
122	1670	11907
123	1679	11863
124	1684	11793
125	1692	11736
126	1699	11681
127	1705	11618
128	1715	11585
129	1722	11529
130	1729	11470
131	1736	11422
132	1746	11383
133	1754	11340
134	1761	11285
135	1767	11229
136	1773	11174
137	1781	11130
138	1791	11094
139	1797	11042
140	1806	11006
141	1813	10954
142	1818	10900
143	1826	10857
144	1832	10803
145	1838	10756
146	1846	10717
147	1857	10692
148	1863	10645
149	1871	10607
150	1879	10565
151	1887	10527
152	1893	10481
153	1900	10440
154	1907	10397
155	1913	10353
156	1919	10308
157	1927	10272
158	1937	10246
159	1942	10200
160	1949	10160
161	1956	10119
162	1965	10090
163	1973	10060
164	1982	10034
165	1986	9980
166	1991	9935
167	1998	9898
168	2005	9862
169	2012	9826
170	2019	9790
171	2025	9748
172	2031	9709
173	2036	9669
174	2045	9641
175	2049	9596
176	2061	9585
177	2070	9563
178	2084	9559
179	2098	9561
180	2120	9595
181	2146	9645
182	2160	9646
183	2166	9608
184	2176	9588
185	2191	9592
186	2199	9563
187	2210	9547
188	2224	9543
189	2234	9525
190	2249	9530
191	2256	9497
192	2275	9513
193	2288	9507
194	2295	9476
195	2305	9459
196	2318	9452
197	2325	9418
198	2331	9383
199	2340	9361
200	2351	9347
201	2357	9313
202	2363	9278
203	2371	9252
204	2378	9222
205	2386	9199
206	2394	9171
207	2404	9154
208	2415	9140
209	2422	9111
210	2429	9085
211	2436	9057
212	2444	9033
213	2451	9004
214	2456	8970
215	2466	8953
216	2474	8927
217	2481	8901
218	2488	8874
219	2498	8857
220	2505	8833
221	2517	8822
222	2525	8800
223	2532	8774
224	2539	8748
225	2547	8724
226	2553	8695
227	2559	8666
228	2566	8639
229	2574	8618
230	2581	8593
231	2587	8567
232	2592	8534
233	2599	8509
234	2607	8486
235	2614	8464
236	2622	8441
237	2629	8418
238	2636	8394
239	2642	8369
240	2648	8341
241	2655	8318
242	2662	8293
243	2671	8277
244	2682	8265
245	2691	8249
246	2703	8241
247	2718	8243
248	2722	8212
249	2729	8188
250	2736	8164
251	2743	8144
252	2750	8121
253	2758	8101
